id,name,description,imageUrl,isVeg,isAvailable,sortOrder,categoryId,restaurantId,createdAt,updatedAt,menuType,deletedAt,isDeleted,basePrice
c2486108-5553-4eec-b9d6-0b9d4eaa01bb,SCHZWAN CHICKEN NOODLES,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779650034/u6nsxiwiyg6btipxcg0q.jpg,true,true,385,4165a2dd-1b01-4eaa-b89f-90fbd1f271ee,bar-001,2026-06-01 21:23:29.484,2026-06-01 22:03:55.509,FOOD,null,false,0.00
8df57ac8-0edb-4228-bf9c-dcff8752542b,COURIER NAPOLEAN RED 30ML,null,null,true,true,389,4165a2dd-1b01-4eaa-b89f-90fbd1f271ee,bar-001,2026-06-01 21:23:31.994,2026-06-01 22:03:57.526,LIQUOR,null,false,0.00
6116e6d6-4609-4d6e-a11d-5b87e67e8c57,Dragon Soup,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779643772/y8jngitnhjp1sxm6glk0.jpg,true,true,4,9b8b6aea-5b66-4221-9e40-4aa4d474f6f9,bar-001,2026-05-31 04:39:24.132,2026-05-31 04:50:46.073,FOOD,null,false,0.00
9d623f9c-edc5-42d6-a1b5-b5b0d85034e5,Sweet Corn Soup (NV),null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779643583/c8ntirvia2arsq4v6qnf.jpg,false,true,0,5a2b9da6-9f05-44c3-ba53-1863fe0af236,bar-001,2026-05-31 04:39:24.598,2026-05-31 04:50:47.238,FOOD,null,false,0.00
61b083c0-838a-4722-9084-5c9e247e3057,Manchow Soup (NV),null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779643803/ade8dxwpg4tnwbx0mxuc.jpg,false,true,1,5a2b9da6-9f05-44c3-ba53-1863fe0af236,bar-001,2026-05-31 04:39:24.9,2026-05-31 04:50:49.573,FOOD,null,false,0.00
0c4be6ef-32dd-43ef-b7ca-41772c38fb8d,Hot & Sour Soup (NV),null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779643849/exf4dyno4kvm2wd6fxl8.jpg,false,true,2,5a2b9da6-9f05-44c3-ba53-1863fe0af236,bar-001,2026-05-31 04:39:25.206,2026-05-31 04:50:50.737,FOOD,null,false,0.00
8e991558-9434-442e-8ee4-3e50515018e0,V Grand Spl Chicken Soup,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779644114/gjnfhu5bmthlsvywartb.jpg,false,true,4,5a2b9da6-9f05-44c3-ba53-1863fe0af236,bar-001,2026-05-31 04:39:25.818,2026-05-31 04:50:53.072,FOOD,null,false,0.00
f240b316-6c9a-4e0c-8c1b-98269c2c6599,Garelu With Mutton Curry,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779653207/ql1coawnaptxdh6ffdkk.jpg,true,true,152,4165a2dd-1b01-4eaa-b89f-90fbd1f271ee,bar-001,2026-06-01 21:16:17.521,2026-06-01 22:05:00.987,FOOD,null,false,0.00
86b252c4-e87f-4217-98c1-a369ff63a116,Finger Chips,null,https://res.cloudinary.com/dnlhxmtqu/image/upload/v1779644341/vlyeq4zvugfo8xhl5l7r.jpg,true,true,2,e40bbcc5-dcec-40b3-9050-356fb0c8cb5b,bar-001,2026-05-31 04:39:27.155,2026-05-31 04:50:57.742,FOOD,null,false,0.00
d2b98cd4-d043-41db-95aa-1328e7528600,VEG SWEET CORN SOUP,null,null,true,true,2,8fb91edc-8b19-43b8-b1a6-88d9f4acd09d,bar-001,2026-06-02 05:14:10.349,2026-06-02 05:14:10.349,FOOD,null,false,0.00
