,,,,,,
,,,,,,
,,Bar Ac Hall,Conference Hall,pdr,rooms,parcel
,Black Current Ice Cream,100.00,120.00,130.00,120.00,0.00
,Italian Bounty Ice Cream,125.00,140.00,150.00,140.00,0.00
,Caramel Nuts Ice Cream,125.00,140.00,150.00,140.00,0.00
,Carlsberg,430.00,450.00,480.00,450.00,260.00
,Natu Kodi Fry,520.00,540.00,570.00,540.00,520.00
,Natu Kodi Pulusu,520.00,540.00,570.00,540.00,520.00
,Natu Kodi Biryani,520.00,540.00,570.00,540.00,520.00
,Vanila Milk Shake,140.00,150.00,160.00,150.00,140.00
,Butterscoch Milk Shake,160.00,175.00,185.00,175.00,160.00
,Strawberry Milk Shake,140.00,150.00,160.00,150.00,140.00
,Chocolate Milk Shake,160.00,175.00,185.00,175.00,160.00
,CASHEWNUT CHICKEN CURRY B/L,390.00,410.00,440.00,410.00,390.00
,Pista Milk Shake,160.00,175.00,185.00,175.00,160.00
,Mango Milk Shake,160.00,175.00,185.00,175.00,160.00
,Black Current Milk Shake,160.00,175.00,185.00,175.00,160.00
,American Dry Fruit Milk Shake,180.00,200.00,210.00,200.00,180.00
,Italian Bounty Milk Shake,180.00,200.00,210.00,200.00,180.00
,Caramel Nuts Milk Shake,180.00,200.00,210.00,200.00,180.00
,Ragi Mudha Mutton Curry,520.00,540.00,570.00,540.00,520.00
,Ragi Mudha With Nattukodi Curry,540.00,560.00,590.00,560.00,540.00
,Imperial Blue,48.00,58.00,60.00,58.00,0.00
,Mc Wiskey 30Ml,48.00,58.00,60.00,58.00,0.00
,Veg Hot And Sour Soup 1/2,180.00,200.00,230.00,200.00,180.00
,Mutton Soup,200.00,220.00,250.00,220.00,200.00
,Mutton Soup 1/2,220.00,240.00,270.00,240.00,220.00
,Bira White Small 330 Ml,250.00,260.00,0.00,260.00,0.00
,Black Dog Whisky 30 Ml,169.00,179.00,185.00,179.00,0.00
,Royal Challenge Whisky 30 Ml,61.00,71.00,75.00,71.00,0.00
