,,,,,,
,,,,,,
,,Bar Ac Hall,Conference Hall,pdr,rooms,parcel
,TEACHERS HIGHLAND CREAM BLENDED 30ML,161.00,171.00,175.00,171.00,0.00
,ROYAL STAG 30ML,61.00,71.00,75.00,71.00,0.00
,WILLIAM LAWSONS BLENDED 30ML,145.00,155.00,160.00,155.00,0.00
,100 PIPERS BLENDED 30ML,166.00,176.00,180.00,176.00,0.00
,ROYAL GREEN PREMIUM 30ML,90.00,100.00,0.00,100.00,0.00
,O C ELEGANT WHISKY 30ML,153.00,153.00,0.00,153.00,0.00
,SPRING VEG,260.00,280.00,310.00,280.00,260.00
,BLENDERS PRIDE SELECT 30ML,92.00,102.00,105.00,102.00,0.00
,AC PREMIUM 30ML,59.00,69.00,0.00,69.00,0.00
,OLD MUNK RUM 30ML,56.00,56.00,0.00,56.00,0.00
,MAGIC MOMENTS ORANGE 30ML,59.00,69.00,75.00,69.00,0.00
,MAGIC MOMENTS GREEN 30ML,59.00,69.00,75.00,69.00,0.00
,JUNO VODHKA 30ML,99.00,99.00,0.00,99.00,0.00
,CORN VADA,250.00,270.00,300.00,270.00,250.00
,KYRA PREMIUM RED WINE 30ML,60.00,70.00,75.00,70.00,0.00
,SIDUS WINE 30ML,43.00,43.00,45.00,43.00,0.00
,Kf Storm Beer,350.00,350.00,390.00,380.00,220.00
,British Empire Strong Beer,330.00,350.00,350.00,350.00,200.00
,Kf Ultra Beer,350.00,350.00,390.00,380.00,220.00
,Kf Lite Beer,310.00,330.00,370.00,330.00,180.00
,Kf Strong Beer,350.00,350.00,390.00,380.00,200.00
,BREZER PLATINUM TANGY,240.00,240.00,250.00,240.00,140.00
,BOOM BEER,350.00,350.00,0.00,350.00,0.00
,CASHEWNUT ROAST,300.00,320.00,350.00,320.00,300.00
,Bira Blonde Beer,350.00,350.00,0.00,350.00,0.00
,BOOM RISE BEER,380.00,380.00,0.00,380.00,0.00
,BOILED PALLI,169.00,179.00,189.00,179.00,179.00
,GORUND NUT MASALA,179.00,189.00,210.00,189.00,170.00
,BOILD PALLI MASALA,179.00,189.00,210.00,189.00,179.00
,Today Spl Veg Cheness,280.00,300.00,330.00,300.00,280.00
,ALOO MASALA,220.00,240.00,270.00,240.00,220.00
,VEG HOT AND SOUR SOUP,160.00,180.00,210.00,180.00,160.00
,GREEN PEAS MASALA,220.00,240.00,270.00,240.00,220.00
,TOMATO CURRY,210.00,230.00,260.00,230.00,210.00
,PLAIN PALAK CURRY,230.00,250.00,280.00,250.00,230.00
,BABY CORN MASALA CURRY,230.00,250.00,280.00,250.00,230.00
,CASHEWNUT CURRY,310.00,330.00,360.00,330.00,310.00
,MIXED VEG CURRY,250.00,270.00,300.00,270.00,250.00
,KADAI VEG CURRY,280.00,300.00,330.00,300.00,280.00
,VEG KHEEMA CURRY,280.00,300.00,330.00,300.00,280.00
,METHI CHAMAN CURRY,310.00,330.00,360.00,330.00,310.00
,VEG JAIPURI CURRY,280.00,300.00,330.00,300.00,280.00
,VEG DRAGON SOUP,160.00,180.00,210.00,180.00,160.00
,VEG NAVARATNA CURRY,280.00,300.00,330.00,300.00,280.00
,MALAI KOFTHA CURRY,280.00,300.00,330.00,300.00,280.00
,VEG SHAHI KURMA CURRY,280.00,300.00,330.00,300.00,280.00
,BIRAYNI RICE,220.00,240.00,270.00,240.00,220.00
,VEG BIRYANI,270.00,290.00,320.00,290.00,270.00
,PANEER BIRYANI,290.00,310.00,340.00,310.00,290.00
,MUSHROOM BIRYANI,290.00,310.00,340.00,310.00,290.00
,CASHEWNUT BIRYANI,320.00,340.00,370.00,340.00,320.00
,SPL VEG BIRYANI,290.00,310.00,340.00,310.00,290.00
,AVAKAYA VEG BIRYANI,260.00,280.00,310.00,280.00,260.00
,VEG MANCHOW SOUP,160.00,180.00,210.00,180.00,160.00
,MUSHROOM 65,280.00,300.00,330.00,300.00,280.00
,CHILLI MUSHROOM,280.00,300.00,330.00,300.00,280.00
,VEG SHANGRILLA,230.00,250.00,280.00,250.00,230.00
,MUSHROOM MANCHURIAN,280.00,300.00,330.00,300.00,280.00
,MUSHROOM PEPPER SALT,290.00,310.00,340.00,310.00,290.00
,CRISPY MUSHROOM,260.00,280.00,310.00,280.00,260.00
,MUSHROOM CURRY,320.00,340.00,370.00,340.00,320.00
,KADAI MUSHROOM CURRY,290.00,310.00,340.00,310.00,290.00
,PANEER MANCHCURIAN,280.00,300.00,330.00,300.00,280.00
,CHILLI PANEER,280.00,300.00,330.00,300.00,280.00
,CHICKEN SWEET CORN SOUP,170.00,190.00,220.00,190.00,170.00
,PANEER 65,280.00,300.00,330.00,300.00,280.00
,PANEER TIKKA,350.00,370.00,400.00,370.00,350.00
,PANEER MEJESTIC,290.00,310.00,340.00,310.00,290.00
,PALAK PANEER CURRY,270.00,290.00,320.00,290.00,270.00
,PANEER BUTTER MASALA,310.00,330.00,360.00,330.00,310.00
,KADAI PANEER CURRY,310.00,330.00,360.00,330.00,310.00
,BOILED EGG,100.00,120.00,150.00,120.00,100.00
,MASALA PAPAD,100.00,120.00,150.00,120.00,100.00
,OMLET,100.00,120.00,150.00,120.00,100.00
,CHILLI EGG,210.00,230.00,260.00,230.00,210.00
,CHICKEN DRAGON SOUP,170.00,190.00,220.00,190.00,170.00
,EGG MANCHURIAN,210.00,230.00,260.00,230.00,210.00
,EGG 65,210.00,230.00,260.00,230.00,210.00
,OMLET CURRY,240.00,260.00,290.00,260.00,240.00
,EGG BURJI,180.00,200.00,230.00,200.00,180.00
,BOILED EGG CURRY,230.00,250.00,280.00,250.00,230.00
,EGG BIRYANI,280.00,300.00,330.00,300.00,280.00
,CHICKEN 555 B/L,380.00,400.00,430.00,400.00,380.00
,LEMON CHICKEN B/L,380.00,400.00,430.00,400.00,380.00
,GINGER CHICKEN B/L,380.00,400.00,430.00,400.00,380.00
,CHICKEN PATAIALA B/L,380.00,400.00,430.00,400.00,380.00
,CHICKEN MANCHOW SOUP,170.00,190.00,220.00,190.00,170.00
,CASHEWUNT CHICKEN B/L,390.00,410.00,440.00,410.00,390.00
,TODAY SPL INDIAN B/L,410.00,430.00,460.00,430.00,410.00
,CHICKEN MANCHURIAN B/L,340.00,360.00,390.00,360.00,340.00
,CHILLI CHICKEN B/L,350.00,370.00,400.00,370.00,350.00
,CHICKEN 65 B/L,350.00,370.00,400.00,370.00,350.00
,SHANGILLA CHICKEN B/L,410.00,430.00,460.00,430.00,410.00
,CHICKEN 85 B/L,390.00,410.00,440.00,410.00,390.00
,CHICKEN ALPHA B/L,360.00,380.00,410.00,380.00,360.00
,SHEZWAN CHICKEN B/L,410.00,430.00,460.00,430.00,410.00
,STAR CHICKEN BONES,380.00,400.00,430.00,400.00,380.00
,CHICKEN HOT AND SOUR SOUP,170.00,190.00,220.00,190.00,170.00
,CHICKEN MEJESTIC B/L,390.00,410.00,440.00,410.00,390.00
,DRAGON CHICKEN B/L,390.00,410.00,440.00,410.00,390.00
,DICY CHICKEN B/L,360.00,380.00,410.00,380.00,360.00
,CRISPY CHICKEN FINGERS B/L,350.00,370.00,400.00,370.00,350.00
,CHICKEN ROAST (BONES),320.00,340.00,370.00,340.00,320.00
,BASKET CHICKEN BONES,370.00,390.00,420.00,390.00,370.00
,TODAY SPL INDIAN BONES,380.00,400.00,430.00,400.00,380.00
,CHICKEN 85 BONES,380.00,400.00,430.00,400.00,380.00
,PEPPER CHICKEN BONES,370.00,390.00,420.00,390.00,370.00
,CHICKEN DRUMS BONES,380.00,400.00,430.00,400.00,380.00
