SOUPS,,,,STATERS NON VEG CHINESE,,,,FRIED RICE & NOODELS,,,,CURRIES VEG,,
39,CHICKEN FRY BONES,319,,94,BIRYANI RICE,234,,152,MUGHALAI CHICKEN CURRY (B/L),409,,206,MASALA KULCHA,109
40,PHUKET FISH,419,,95,VEG BIRYANI,279,,153,PRAWNS FRY,445,,207,PLAIN ROTI,74
41,BASKET CHICKEN BONES,369,,96,SP VEG BIRYANI,309,,154,PRAWNS CURRY,445,,208,BUTTER ROTI,79
42,BASKET CHICKEN (B/L),389,,97,MUSHROOM BIRYANI,309,,155,GONGURA PRAWNS,445,,ICE CREAM SCOOPS,,
43,CHICKEN 555 (B/L),379,,98,PANEER BIRYANI,289,,156,MUTTON FRY,519,,209,VENNILA ICE CREAM,95
44,LEMON CHICKEN,409,,99,CASHEWNUT BIRYANI,319,,157,MUTTON CURRY,519,,210,STRAWBERRY ICE CREAM,95
45,GINGER CHICKEN BONES,379,,100,EGG BIRYANI,279,,158,GONGURA MUTTON ,519,,211,CHICKELATE ICE CREAM,110
46,CHICKEN PATIYALA (B/L),379,,101,CHICKEN DUM BIRYANI,329,,159,MUTTON KHEEMA CURRY,519,,212,BUTTER SCOH ICE CREAM,110
47,CASHEWNUT CHICKEN (B/L),399,,102,CHICKEN FRY PIECE BIRYANI,329,,160,GONGURA MUTTON CURRY,519,,213,ITALIAN BOUNTY ICE CREAM,135
48,FISH FRY BONES,409,,103,BONELESS CHICKEN BIRYANI,340,,,EGG KHEEMA CURRY,200,,214,PISTA ICE CREAM,110
49,FISH FRY (B/L),409,,104,LOLLYPOP BIRYANI,359,,,KADAI MUTTON CURRY,470,,215,MANGO ICE CREAM,110
50,FISH FRY ROAST,409,,105,MUGHULAI CHICKEN BIRYANI,419,,,FISH FRY BONES,379,,216,BLACK CURRENT ICE CREAM,110
51,TAWA FISH,419,,106,FISH BIRYANI,379,,,FISH FRY (B/L),409,,217,AMERICAN NUTS ICE CREAM,135
52,MUTTON FRY BONES,519,,107,TIKKA BIRYANI,419,,RICE ITEMS,,,,218,CARAMEL ICE CREAM,135
